Año,Matricula_Proyectada,Personal_Con_Tendencia,Personal_Necesario,Contrataciones_Anuales,Ratio_Proyectado,SNI_Proyectado
2025,69978.07142857136,6310.71428571429,5831.505952380947,-541.9940476190532,11.088771929824544,997.4285714285797
2026,70783.64285714296,6347.33928571429,5898.636904761913,67.13095238096594,11.151703047677467,1084.2142857142899
2027,71589.21428571432,6383.96428571429,5965.76785714286,67.13095238094684,11.213912090002292,1171.0
2028,72394.78571428568,6420.58928571429,6032.898809523806,67.13095238094684,11.27541141361634,1257.7857142857101
2029,73200.35714285728,6457.21428571429,6100.029761904773,67.13095238096685,11.336213094987901,1344.5714285714203
2030,74005.92857142864,6493.83928571429,6167.16071428572,67.13095238094684,11.396328938141924,1431.3571428571304
