periodo,especialidad,maestra,doctorado,uabc,fecha
2018-2,175,929,458,1562,2018-07-01
2019-1,286,863,435,1584,2019-01-01
2019-2,310,992,498,1800,2019-07-01
2020-1,292,826,445,1563,2020-01-01
2020-2,389,999,577,1965,2020-07-01
2021-1,353,971,552,1876,2021-01-01
2021-2,345,951,619,1915,2021-07-01
2022-1,323,843,555,1721,2022-01-01
2022-2,691,861,565,2117,2022-07-01
2023-1,366,794,498,1658,2023-01-01
2023-2,775,1103,595,2473,2023-07-01
2024-1,423,991,556,1970,2024-01-01
2024-2,784,1162,637,2583,2024-07-01
