periodo,especialidad,maestra,doctorado,fecha
2018-2,10,24,13,2018-07-01
2019-1,10,24,13,2019-01-01
2019-2,10,33,21,2019-07-01
2020-1,10,34,21,2020-01-01
2020-2,11,36,23,2020-07-01
2021-1,11,37,24,2021-01-01
2021-2,11,37,24,2021-07-01
2022-1,11,37,24,2022-01-01
2022-2,11,41,24,2022-07-01
2023-1,19,42,23,2023-01-01
2023-2,23,47,26,2023-07-01
2024-1,22,47,26,2024-01-01
2024-2,25,46,27,2024-07-01
