periodo,recuento,fecha
2018-2,425,1530403200000000000
2019-1,461,1546300800000000000
2019-2,476,1561939200000000000
2020-1,531,1577836800000000000
2020-2,583,1593561600000000000
2021-1,599,1609459200000000000
2021-2,627,1625097600000000000
2022-1,687,1640995200000000000
2022-2,714,1656633600000000000
2023-1,865,1672531200000000000
2023-2,866,1688169600000000000
2024-1,921,1704067200000000000
2024-2,924,1719792000000000000
