periodo,uabc,en_formacin,en_consolidacin,consolidados,fecha
2018-2,215,91,63,61,2018-07-01
2019-1,215,91,63,61,2019-01-01
2019-2,223,104,52,67,2019-07-01
2020-1,223,104,52,67,2020-01-01
2020-2,227,101,55,71,2020-07-01
2021-1,230,84,66,80,2021-01-01
2021-2,235,83,73,79,2021-07-01
2022-1,234,81,72,81,2022-01-01
2022-2,235,78,76,81,2022-07-01
2023-1,233,67,86,80,2023-01-01
2023-2,232,73,83,76,2023-07-01
2024-1,259,73,101,85,2024-01-01
2024-2,255,67,99,89,2024-07-01
