periodo,recuento,fecha
2018-2,6145,2018-07-01
2019-1,6141,2019-01-01
2019-2,6182,2019-07-01
2020-1,6138,2020-01-01
2020-2,5852,2020-07-01
2021-1,6041,2021-01-01
2021-2,6090,2021-07-01
2022-1,6149,2022-01-01
2022-2,6171,2022-07-01
2023-1,6200,2023-01-01
2023-2,6298,2023-07-01
2024-1,6325,2024-01-01
2024-2,6422,2024-07-01
