periodo,recuento_programas_educativos_de_licenciatura,fecha
2018-2,134,1530403200000000000
2019-1,135,1546300800000000000
2019-2,134,1561939200000000000
2020-1,134,1577836800000000000
2020-2,135,1593561600000000000
2021-1,140,1609459200000000000
2021-2,140,1625097600000000000
2022-1,140,1640995200000000000
2022-2,146,1656633600000000000
2023-1,146,1672531200000000000
2023-2,151,1688169600000000000
2024-1,148,1704067200000000000
2024-2,150,1719792000000000000
