periodo,recuento,fecha
2018-2,425,2018-07-01
2019-1,461,2019-01-01
2019-2,476,2019-07-01
2020-1,531,2020-01-01
2020-2,583,2020-07-01
2021-1,599,2021-01-01
2021-2,627,2021-07-01
2022-1,687,2022-01-01
2022-2,714,2022-07-01
2023-1,865,2023-01-01
2023-2,866,2023-07-01
2024-1,921,2024-01-01
2024-2,924,2024-07-01
