periodo,recuento_alumnos_de_licenciatura,fecha
2018-2,62865,1530403200000000000
2019-1,63025,1546300800000000000
2019-2,63728,1561939200000000000
2020-1,64173,1577836800000000000
2020-2,64317,1593561600000000000
2021-1,64045,1609459200000000000
2021-2,66029,1625097600000000000
2022-1,64199,1640995200000000000
2022-2,66504,1656633600000000000
2023-1,65057,1672531200000000000
2023-2,66885,1688169600000000000
2024-1,66332,1704067200000000000
2024-2,68208,1719792000000000000
